Partial_Postcode,Population2023,LSOA_Code,Postcode,Town,District,County
BS3 1,8940.9012167594,E01014696,BS3 1PA,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 1,8940.9012167594,E01014699,BS3 1RL,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 1,8940.9012167594,E01014701,BS3 1PJ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 1,8940.9012167594,E01033361,BS3 1BN,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 1,8940.9012167594,E01014700,BS3 1JD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 1,8940.9012167594,E01014701,BS3 1PR,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 1,8940.9012167594,E01014699,BS3 1RH,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 1,8940.9012167594,E01033361,BS3 1HT,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 1,8940.9012167594,E01014698,BS3 1EE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 3,6191.556494386191,E01014500,BS3 3NB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 3,6191.556494386191,E01033362,BS3 3NL,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 3,6191.556494386191,E01033362,BS3 3NQ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 3,6191.556494386191,E01014500,BS3 3NE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 3,6191.556494386191,E01033362,BS3 3NG,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 3,6191.556494386191,E01033364,BS3 3LH,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 3,6191.556494386191,E01033364,BS3 3BT,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 3,6191.556494386191,E01033362,BS3 3NA,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 3,6191.556494386191,E01033362,BS3 3LL,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 3,6191.556494386191,E01033364,BS3 3PD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 3,6191.556494386191,E01014504,BS3 3JF,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 3,6191.556494386191,E01033362,BS3 3NU,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 3,6191.556494386191,E01014500,BS3 3PZ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01033359,BS3 4AL,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01014733,BS3 4NR,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01014731,BS3 4UF,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01014731,BS3 4TY,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01033359,BS3 4AP,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01033359,BS3 4BZ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01033359,BS3 4DL,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01033359,BS3 4HB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01033359,BS3 4EX,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01014733,BS3 4NS,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01014733,BS3 4PD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01014731,BS3 4TR,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01014731,BS3 4RL,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01014731,BS3 4UD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01033361,BS3 4EJ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01033361,BS3 4EL,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01033361,BS3 4NE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01033359,BS3 4DG,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 4,7681.874299271742,E01033359,BS3 4HH,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS3 5,8053.950944216177,E01014579,BS3 5DP,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
